 459.50 286.00 237.25 243.25  224.33 188.25 197.25 179.50  161.00 168.00 164.25 167.00
 477.75 286.75 237.25 244.75  224.67 189.50 199.75 186.50  161.50 169.50 165.50 168.50
 495.50 305.00 246.50 247.00  236.33 190.75 200.75 193.00  163.25 170.50 166.00 169.50
 513.50 305.25 247.00 254.25  237.00 193.25 201.00 194.00  164.75 171.25 166.25 170.75
 530.75 323.75 279.50 266.00  248.67 215.75 201.50 199.75  184.25 172.50 168.50 172.75
 548.75 324.25 280.00 272.00  249.00 216.00 203.00 202.25  185.75 173.50 168.75 173.25
 567.00 345.75 280.25 277.50  261.00 218.75 203.75 204.00  186.75 174.25 169.25 173.50
 584.75 346.00 280.25 277.75  261.00 219.25 204.25 205.50  187.75 174.75 169.50 173.75
 604.00 373.00 309.75 316.75  274.67 254.50 242.00 247.75  209.00 205.75 225.50 253.00
 623.25 373.75 311.00 321.25  276.00 255.00 243.00 255.50  209.75 207.25 232.25 256.00
 641.25 392.00 319.50 323.25  289.00 261.50 245.50 256.75  212.25 209.00 240.25 262.25
 659.00 392.25 320.00 326.25  289.00 262.00 248.00 260.00  213.75 212.00 242.25 275.25
 676.75 410.50 353.25 342.75  301.33 280.75 251.75 269.00  233.00 218.00 245.50 279.25
 694.50 411.25 354.00 350.00  301.67 281.75 253.25 274.25  233.75 219.50 246.50 289.75
 712.50 432.25 354.25 350.75  313.67 283.25 256.00 276.25  234.75 223.50 248.00 294.75
 731.00 432.75 354.50 351.00  314.00 285.00 256.75 281.25  238.75 226.00 249.50 302.25
 750.00 462.50 386.00 397.25  326.00 304.50 301.00 298.75  257.75 260.50 250.75 307.50
 770.50 463.25 386.75 399.25  326.33 304.75 301.25 299.25  258.75 262.75 251.00 311.00
 788.00 481.50 394.25 401.50  338.00 306.25 301.50 300.25  259.25 263.75 251.50 313.75
 805.75 482.25 395.00 403.75  338.33 309.00 302.00 300.75  260.75 264.25 252.00 315.75
 823.75 501.00 426.75 413.00  350.33 331.50 305.00 304.75  279.50 265.25 252.75 318.00
 841.00 501.00 428.00 424.00  350.33 332.00 305.50 307.50  280.25 265.50 253.00 321.00
 859.25 523.50 428.00 425.00  362.67 335.00 305.75 308.00  280.75 266.00 255.00 323.50
 878.25 523.75 428.00 425.50  363.00 335.50 306.25 308.50  283.75 266.75 257.50 326.00
 896.75 553.75 458.50 460.75  378.00 370.25 344.50 352.50  303.25 301.50 328.50 327.25
 916.50 554.25 459.25 464.00  378.67 372.25 345.25 361.00  303.50 303.00 329.75 328.50
