sort 2.5953 0.13 0.13 1.0000 0.34 0.34
#binary search, 2.8434, 0.132, 1.0000, 0.37
sqrt 2.8675 0.22 0.12 1.0000 0.29 0.23
arithmetic 1.9187 0.20 0.20 1.0000 0.36 0.28
