Timestamp,User\g,Nice\g,System\g,Wait\g,Steal\g,Idle\g
2014-06-09T00:09:30-04:00,0,0,0.2,0,0,99.8
2014-06-09T00:09:45-04:00,0,0,0.2,0,0,99.8
2014-06-09T00:10:00-04:00,0,0,0.2,0,0,99.8
2014-06-09T00:10:15-04:00,0,0,0.25333333333,0,0,99.746666667
2014-06-09T00:10:30-04:00,0,0,0.6,0,0,99.4
2014-06-09T00:10:45-04:00,0,0,0.6,0,0,99.4
2014-06-09T00:11:00-04:00,0,0,0.6,0,0,99.4
2014-06-09T00:11:15-04:00,0,0,0.6,0,0,99.4
2014-06-09T00:11:30-04:00,0,0,0.6,0,0,99.4
2014-06-09T00:11:45-04:00,0,0,0.6,0,0,99.4
2014-06-09T00:12:00-04:00,0,0,0.3,0,0,99.7
2014-06-09T00:12:15-04:00,0,0,0.3,0,0,99.7
2014-06-09T00:12:30-04:00,0,0,0.3,0,0,99.7
2014-06-09T00:12:45-04:00,0.033333333333,0,0.36666666667,0,0,99.593333333
2014-06-09T00:13:00-04:00,0.5,0,1.3,0,0,98.1
2014-06-09T00:13:15-04:00,0.5,0,1.3,0,0,98.1
2014-06-09T00:13:30-04:00,0.5,0,1.3,0,0,98.1
2014-06-09T00:13:45-04:00,0.5,0,1.3,0,0,98.1
2014-06-09T00:14:00-04:00,0.5,0,1.3,0,0,98.1
2014-06-09T00:14:15-04:00,0.48666666667,0,1.2333333333,0,0,98.193333333
2014-06-09T00:14:30-04:00,0.4,0,0.8,0,0,98.8
2014-06-09T00:14:45-04:00,0.4,0,0.8,0,0,98.8
2014-06-09T00:15:00-04:00,0.4,0,0.8,0,0,98.8
2014-06-09T00:15:15-04:00,0.4,0,0.8,0,0,98.8
2014-06-09T00:15:30-04:00,0.4,0,0.8,0,0,98.8
2014-06-09T00:15:45-04:00,0.4,0,0.8,0,0,98.8
2014-06-09T00:16:00-04:00,0.2,0,0.3,0,0,99.5
2014-06-09T00:16:15-04:00,0.2,0,0.3,0,0,99.5
