Timestamp,In ,Out
2014-05-30T05:56:45-04:00,11228.8,32018.3
2014-05-30T05:57:00-04:00,11575.61,43076.11
2014-05-30T05:57:15-04:00,11575.61,43076.11
2014-05-30T05:57:30-04:00,11575.61,43076.11
2014-05-30T05:57:45-04:00,11575.61,43076.11
2014-05-30T05:58:00-04:00,11575.61,43076.11
2014-05-30T05:58:15-04:00,1916286.7647,69437842.148
2014-05-30T05:58:30-04:00,2209319.25,80113960
2014-05-30T05:58:45-04:00,2209319.25,80113960
2014-05-30T05:59:00-04:00,4452809.05,210982702.4
2014-05-30T05:59:15-04:00,5013681.5,243699888
2014-05-30T05:59:30-04:00,NaN,NaN
