"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
3.939,0.572,95.362,0.0,0.0,0.127,362.0,106.0,618664.0,122760904.0,1115050.0,240309438.0,10944724992.0,413810688.0,5397024768.0,8567738368.0,0.0,0.0
0.444,0.444,99.048,0.0,0.0,0.063,308.0,0.0,592446.0,122716594.0,1035948.0,240239862.0,10944233472.0,413810688.0,5397069824.0,8568184832.0,0.0,0.0
0.444,0.571,98.985,0.0,0.0,0.0,574.0,106.0,591254.0,122665166.0,1042379.0,240146383.0,10943791104.0,413810688.0,5397127168.0,8568569856.0,0.0,24576.0
0.571,0.571,98.604,0.127,0.0,0.127,448.0,0.0,608278.0,122710876.0,1062627.0,240202619.0,10945507328.0,413810688.0,5397458944.0,8566521856.0,0.0,40960.0
0.697,0.507,98.733,0.0,0.0,0.063,496.0,106.0,592060.0,122750174.0,1037636.0,240235788.0,10945601536.0,413810688.0,5397483520.0,8566403072.0,0.0,0.0
2.723,0.570,96.643,0.0,0.0,0.063,320.0,0.0,607484.0,122703180.0,1064906.0,240129194.0,10944806912.0,413810688.0,5397573632.0,8567107584.0,0.0,0.0
9.338,0.568,89.779,0.0,0.0,0.315,128.0,0.0,593528.0,122703508.0,1072682.0,240213748.0,10943811584.0,413810688.0,5397704704.0,8567971840.0,0.0,0.0
2.980,0.698,96.259,0.0,0.0,0.063,596.0,212.0,596810.0,122713806.0,1053176.0,240193950.0,10943680512.0,413810688.0,5402480640.0,8563326976.0,0.0,24576.0
13.291,2.532,83.987,0.063,0.0,0.127,244.0,0.0,597590.0,122673032.0,1048085.0,240191677.0,10946854912.0,413810688.0,5485350912.0,8477282304.0,0.0,49152.0
12.247,0.631,87.058,0.0,0.0,0.063,436.0,68.0,604710.0,122697278.0,1055123.0,240180861.0,10946371584.0,413810688.0,5485801472.0,8477315072.0,0.0,0.0
11.776,2.864,84.850,0.0,0.0,0.509,1332.0,0.0,574450.0,122762872.0,50551261.0,289771035.0,10949132288.0,413810688.0,5485789184.0,8474566656.0,0.0,0.0
6.717,1.141,92.079,0.0,0.0,0.063,426.0,106.0,594432.0,123190612.0,1034208.0,240688394.0,10948800512.0,413810688.0,5485862912.0,8474824704.0,0.0,0.0
9.298,0.822,89.817,0.0,0.0,0.063,512.0,106.0,576330.0,122733328.0,1007743.0,240220997.0,10948907008.0,413810688.0,5485862912.0,8474718208.0,0.0,20480.0
9.114,0.886,89.051,0.886,0.0,0.063,256.0,0.0,536154.0,122706588.0,941257.0,240203681.0,10950205440.0,413810688.0,5489868800.0,8469413888.0,0.0,49152.0
11.906,0.633,81.697,5.700,0.0,0.063,256.0,0.0,552772.0,122668172.0,985110.0,239834654.0,10950135808.0,413810688.0,5493932032.0,8465420288.0,0.0,0.0
10.956,1.140,87.840,0.0,0.0,0.063,542.0,106.0,608492.0,122695006.0,25531251.0,264586641.0,10951323648.0,413810688.0,5500923904.0,8457240576.0,0.0,0.0
10.816,0.443,88.741,0.0,0.0,0.0,322.0,92.0,576758.0,122695596.0,1012636.0,240102374.0,10949668864.0,413810688.0,5500903424.0,8458915840.0,0.0,0.0
11.125,0.695,88.180,0.0,0.0,0.0,602.0,106.0,577692.0,122695310.0,1212907.0,240312955.0,10949632000.0,413810688.0,5500903424.0,8458952704.0,0.0,0.0
8.312,0.888,90.673,0.0,0.0,0.127,256.0,0.0,573918.0,122709176.0,1170877.0,240324971.0,10951286784.0,413810688.0,5501194240.0,8457007104.0,0.0,65536.0
10.977,0.508,88.515,0.0,0.0,0.0,426.0,106.0,589442.0,122697262.0,1032526.0,240153922.0,10950565888.0,413810688.0,5501202432.0,8457719808.0,0.0,0.0
5.964,0.635,93.338,0.0,0.0,0.063,192.0,0.0,565294.0,122694190.0,997655.0,240141369.0,10950057984.0,413810688.0,5501718528.0,8457711616.0,0.0,0.0
0.444,0.571,98.921,0.0,0.0,0.063,320.0,0.0,591164.0,122668040.0,1034389.0,240100499.0,10949218304.0,413810688.0,5502140416.0,8458129408.0,0.0,0.0
0.381,0.571,99.048,0.0,0.0,0.0,478.0,106.0,590686.0,122648374.0,1043747.0,240211887.0,10950041600.0,413810688.0,5502140416.0,8457306112.0,0.0,0.0
0.695,0.821,98.294,0.126,0.0,0.063,500.0,0.0,531240.0,123195212.0,927528.0,240559318.0,10952028160.0,413810688.0,5502390272.0,8455069696.0,0.0,69632.0
0.758,0.632,98.547,0.0,0.0,0.063,468.0,106.0,509765.0,122805974.0,899981.0,240431433.0,10951495680.0,413810688.0,5502386176.0,8455606272.0,0.0,0.0
2.785,0.570,96.646,0.0,0.0,0.0,432.0,0.0,545186.0,122865002.0,955862.0,240145552.0,10951786496.0,413810688.0,5502464000.0,8455237632.0,0.0,0.0
5.426,0.442,90.852,3.218,0.0,0.063,128.0,0.0,508756.0,122872548.0,897663.0,240061315.0,10951237632.0,413810688.0,5502517248.0,8455733248.0,0.0,0.0
0.379,0.569,92.794,6.258,0.0,0.0,490.0,106.0,541678.0,122655350.0,951961.0,240005855.0,10951090176.0,413810688.0,5502550016.0,8455847936.0,0.0,0.0
0.632,0.632,87.358,11.315,0.0,0.063,378.0,106.0,537164.0,122753642.0,951490.0,239923282.0,10952531968.0,413810688.0,5502627840.0,8454328320.0,0.0,65536.0
0.759,0.569,86.030,12.579,0.0,0.063,500.0,0.0,554362.0,122770778.0,977059.0,240589713.0,10952499200.0,413810688.0,5502627840.0,8454361088.0,0.0,0.0
0.379,0.506,86.473,12.579,0.0,0.063,308.0,0.0,541158.0,122731460.0,979201.0,239730162.0,10952646656.0,413810688.0,5502627840.0,8454213632.0,0.0,0.0
0.633,0.506,86.275,12.587,0.0,0.0,320.0,0.0,572804.0,122912582.0,1012605.0,240356890.0,10951741440.0,413810688.0,5502734336.0,8455012352.0,0.0,0.0
0.759,0.442,86.220,12.516,0.0,0.063,708.0,212.0,546108.0,122537734.0,955979.0,239781647.0,10951413760.0,413810688.0,5502734336.0,8455340032.0,0.0,0.0
0.632,0.632,86.094,12.516,0.0,0.126,448.0,0.0,535901.0,122782550.0,947551.0,239987469.0,10950639616.0,413810688.0,5502734336.0,8456114176.0,0.0,61440.0
0.506,0.442,86.410,12.579,0.0,0.063,192.0,0.0,551743.0,122558232.0,967605.0,239767477.0,10950656000.0,413810688.0,5502734336.0,8456097792.0,0.0,0.0
0.443,0.570,86.392,12.532,0.0,0.063,362.0,106.0,586514.0,122071757.0,1039283.0,238224332.0,10951024640.0,413810688.0,5502787584.0,8455675904.0,0.0,0.0
0.253,0.443,86.582,12.658,0.0,0.063,258.0,92.0,562722.0,122697777.0,986273.0,240020455.0,10949935104.0,413810688.0,5502787584.0,8456765440.0,0.0,0.0
0.380,0.380,86.629,12.611,0.0,0.0,940.0,174.0,560189.0,122290066.0,982221.0,239729990.0,10949926912.0,413810688.0,5502787584.0,8456773632.0,0.0,0.0
0.442,0.631,83.470,15.394,0.0,0.063,590.0,0.0,521394.0,122948415.0,918050.0,240086985.0,10951999488.0,413810688.0,5502799872.0,8454688768.0,0.0,61440.0
0.505,0.568,80.0,18.864,0.0,0.063,490.0,106.0,552478.0,122632249.0,961510.0,239914372.0,10951720960.0,413810688.0,5502898176.0,8454868992.0,0.0,0.0
0.443,0.506,83.987,15.0,0.0,0.063,654.0,0.0,533347.0,122697823.0,948622.0,239932461.0,10950971392.0,413810688.0,5502898176.0,8455618560.0,0.0,0.0
0.253,0.505,86.616,12.563,0.0,0.063,502.0,0.0,578798.0,122849680.0,1009768.0,240212946.0,10950983680.0,413810688.0,5502906368.0,8455598080.0,0.0,0.0
5.370,0.569,81.554,12.445,0.0,0.063,512.0,174.0,568386.0,122609646.0,997837.0,240014595.0,10950094848.0,413810688.0,5502935040.0,8456458240.0,0.0,0.0
1.833,1.391,86.789,9.924,0.0,0.063,542.0,106.0,578375.0,122650737.0,-127671810.0,-9736552.0,8914571264.0,413810688.0,5502914560.0,10492002304.0,0.0,106496.0
1.075,0.506,92.030,6.325,0.0,0.063,706.0,0.0,561070.0,122530769.0,990562.0,239912216.0,8914055168.0,413810688.0,5503037440.0,10492395520.0,0.0,0.0
1.264,0.632,91.783,6.258,0.0,0.063,320.0,0.0,568910.0,122694414.0,1035961.0,239711258.0,8912265216.0,413810688.0,5503037440.0,10494185472.0,0.0,0.0
5.320,2.470,88.474,3.737,0.0,0.0,128.0,0.0,1049245.0,105324749.0,1956305.0,193985178.0,8913453056.0,413810688.0,5590794240.0,10405240832.0,0.0,0.0
