 2200.50 1207.75 750.50 710.00	1452.50 906.75 673.00 584.50  916.00 622.00 507.75 572.75  616.00 482.00 547.50 532.75
 2251.25 1210.25 751.50 715.25	1456.25 912.25 679.00 586.75  920.25 624.75 509.25 575.25  620.25 483.50 548.50 533.75
 2300.75 1259.50 811.25 735.50	1519.75 973.50 684.50 590.00  983.25 631.00 511.00 578.00  624.00 486.75 551.50 534.50
 2350.25 1262.75 812.25 740.00	1525.25 981.00 685.75 593.75  990.00 632.75 513.75 581.25  626.00 490.75 553.00 536.00
 2400.75 1313.75 812.25 742.25	1589.00 990.25 690.25 601.00  996.25 635.00 514.00 585.00  632.00 494.75 554.75 536.25
 2451.00 1316.50 813.00 744.00	1590.00 995.50 692.50 604.75  1001.75 638.50 519.75 587.50  637.00 498.50 556.25 537.25
 2505.50 1377.50 880.75 832.00	1648.75 1061.25 772.75 727.50  1073.75 715.50 626.75 588.75  715.75 606.00 559.75 537.25
 2555.75 1379.50 882.75 834.25	1650.75 1070.50 782.50 734.50  1077.00 722.75 633.25 589.75  723.00 621.75 561.00 538.00
 2608.50 1429.50 893.50 835.75	1714.00 1077.75 789.00 737.00  1081.00 726.50 645.25 591.50  727.50 627.00 563.50 538.50
 2660.00 1432.75 893.75 841.00	1720.50 1083.75 797.00 747.25  1086.00 729.75 653.75 594.25  729.00 631.25 565.00 539.25
 2710.75 1483.25 954.50 862.25	1782.00 1143.25 802.00 751.00  1150.00 735.25 657.25 595.50  733.50 636.00 566.00 540.50
 2761.00 1483.75 955.75 864.75	1783.75 1152.50 805.50 757.75  1158.25 739.00 661.00 597.00  737.00 637.75 566.75 540.75
 2810.25 1534.50 957.00 868.75	1846.75 1156.00 814.75 762.50  1161.00 743.00 662.50 599.25  739.50 642.50 570.50 541.50
 2860.50 1538.00 958.50 872.00	1849.25 1166.25 817.25 770.00  1168.50 750.00 665.25 600.50  742.75 644.00 572.00 542.50
 2913.50 1597.25 1024.25 959.25	 1906.75 1227.25 895.75 776.25  1234.50 826.50 668.25 603.25  819.75 648.00 573.75 543.25
 2965.50 1599.25 1025.00 966.75	 1914.75 1233.00 906.00 780.00  1242.50 835.50 670.25 605.50  826.50 650.25 574.25 544.50
 3017.25 1651.25 1037.50 971.00	 1976.25 1237.25 908.25 785.75  1248.00 840.75 674.50 606.50  829.00 652.75 575.25 545.50
 3067.25 1653.00 1040.25 973.50	 1980.75 1245.25 912.25 791.75  1254.50 843.25 677.75 608.50  834.75 653.25 577.75 546.75
 3117.50 1701.75 1097.75 992.75	 2043.25 1312.25 918.50 796.75  1324.75 845.25 681.25 610.50  839.50 658.75 579.25 548.50
 3167.75 1704.75 1098.75 998.50	 2046.50 1315.25 922.50 801.00  1330.00 848.75 683.50 612.50  842.25 661.00 581.50 550.25
 3217.50 1755.50 1099.00 999.50	 2108.50 1321.00 925.00 803.50  1332.50 851.50 686.50 615.50  846.25 663.00 583.25 551.25
 3267.00 1756.00 1099.75 1001.50  2111.00 1326.75 928.75 808.00	 1336.25 855.75 689.00 617.25  851.00 668.00 586.00 553.50
