Timestamp,In ,Out
2014-05-30T04:58:45-04:00,20066.95,1231126.63
2014-05-30T04:59:00-04:00,20066.95,1231126.63
2014-05-30T04:59:15-04:00,20066.95,1231126.63
2014-05-30T04:59:30-04:00,20066.95,1231126.63
2014-05-30T04:59:45-04:00,20066.95,1231126.63
2014-05-30T05:00:00-04:00,13100.046,657730.422
2014-05-30T05:00:15-04:00,5137.87,2420.47
2014-05-30T05:00:30-04:00,8677.7153333,330050.98733
2014-05-30T05:00:45-04:00,11775.08,616727.69
2014-05-30T05:01:00-04:00,11775.08,616727.69
2014-05-30T05:01:15-04:00,17460.836,621570.926
2014-05-30T05:01:30-04:00,21251.34,624799.75
2014-05-30T05:01:45-04:00,21251.34,624799.75
2014-05-30T05:02:00-04:00,11544.132,251118.622
2014-05-30T05:02:15-04:00,5072.66,1997.87
2014-05-30T05:02:30-04:00,5072.66,1997.87
2014-05-30T05:02:45-04:00,5072.66,1997.87
2014-05-30T05:03:00-04:00,5072.66,1997.87
2014-05-30T05:03:15-04:00,5072.66,1997.87
2014-05-30T05:03:30-04:00,5072.66,1997.87
2014-05-30T05:03:45-04:00,5072.66,1997.87
2014-05-30T05:04:00-04:00,5072.66,1997.87
2014-05-30T05:04:15-04:00,5072.66,1997.87
2014-05-30T05:04:30-04:00,5072.66,1997.87
2014-05-30T05:04:45-04:00,5072.66,1997.87
2014-05-30T05:05:00-04:00,5072.66,1997.87
2014-05-30T05:05:15-04:00,5072.66,1997.87
2014-05-30T05:05:30-04:00,NaN,NaN
