 28.75 41.25 39.25 51.50  33.50 42.50 57.25 77.75  33.50 49.50 80.50 116.00
 54.25 43.50 40.00 55.50  40.50 49.50 68.25 101.00  43.00 55.25 87.25 123.50
 77.25 69.00 51.50 57.25  74.00 52.50 72.25 104.00  47.25 58.25 92.75 137.75
 103.00 69.75 52.25 59.00  80.00 60.00 76.25 112.25  51.50 59.25 96.50 149.25
 128.25 95.50 90.25 82.25  111.00 92.50 85.25 116.25  86.75 64.00 99.00 152.00
 154.25 96.50 91.25 88.50  116.75 104.75 89.50 121.50  92.75 66.00 102.25 156.25
 178.75 125.25 91.50 91.75  146.75 111.00 91.75 125.75  97.25 68.25 103.25 159.00
 204.00 125.25 91.75 92.00  158.50 114.25 95.50 127.00  98.50 71.50 107.25 161.50
 235.00 163.50 130.75 145.25  190.25 144.50 143.25 133.00  131.25 112.75 109.25 163.25
 260.50 164.25 132.00 149.00  197.75 155.50 151.25 135.75  139.50 119.75 110.75 165.50
 284.50 189.25 142.50 150.00  227.25 162.50 152.50 140.00  146.25 122.75 114.25 167.50
 309.00 190.50 143.00 152.75  233.25 168.00 159.50 147.00  150.25 126.00 114.75 169.00
 334.00 215.25 181.00 172.25  266.25 204.25 165.25 149.50  183.00 127.00 116.50 171.25
 360.00 216.00 182.00 177.00  273.75 213.00 166.75 152.75  192.25 130.00 117.25 172.75
 385.75 243.75 182.00 179.00  307.00 216.00 170.25 155.25  198.75 135.75 118.75 174.25
 411.75 244.25 182.00 179.25  317.25 223.75 175.75 157.50  205.25 137.75 122.00 175.75
 440.25 279.50 221.50 228.00  351.00 266.75 236.75 256.25  243.25 180.00 188.75 176.75
 466.50 280.50 223.50 229.00  353.50 271.25 242.50 263.25  246.75 185.25 196.25 179.00
 491.25 305.25 231.25 234.25  387.50 278.25 245.25 268.50  252.75 190.50 199.25 182.50
 515.75 307.25 232.50 235.50  389.00 281.00 250.50 274.00  255.25 193.75 201.25 182.50
 539.50 332.00 270.00 255.25  421.00 317.25 253.25 276.25  289.25 195.50 206.00 184.00
 565.75 333.25 270.75 260.50  430.25 325.25 254.50 281.00  297.25 200.75 208.25 184.50
