 101.75 33.50 49.50 80.50 116.00
 109.00 43.00 55.25 87.25 123.50
 114.00 47.25 58.25 92.75 137.75
 121.75 51.50 59.25 96.50 149.25
 125.00 86.75 64.00 99.00 152.00
 128.50 92.75 66.00 102.25 156.25
 130.75 97.25 68.25 103.25 159.00
 133.00 98.50 71.50 107.25 161.50
 135.25 131.25 112.75 109.25 163.25
 136.50 139.50 119.75 110.75 165.50
 139.75 146.25 122.75 114.25 167.50
 148.50 150.25 126.00 114.75 169.00
 149.50 183.00 127.00 116.50 171.25
 154.50 192.25 130.00 117.25 172.75
 161.75 198.75 135.75 118.75 174.25
 163.75 205.25 137.75 122.00 175.75
 167.25 243.25 180.00 188.75 176.75
 170.75 246.75 185.25 196.25 179.00
 179.25 252.75 190.50 199.25 182.50
 180.50 255.25 193.75 201.25 182.50
 183.25 289.25 195.50 206.00 184.00
 186.50 297.25 200.75 208.25 184.50
 189.00 301.75 202.50 210.25 187.00
 199.50 303.50 205.75 212.25 189.25
 202.00 341.75 251.25 214.00 191.25
 205.00 346.75 256.00 215.75 192.75
 211.75 350.25 259.50 217.25 193.50
 215.00 352.75 262.25 218.25 197.00
 218.25 390.50 265.50 219.75 198.50
 220.75 397.00 271.00 224.50 201.00
 225.25 401.25 275.00 228.50 205.00
 230.00 405.00 276.25 230.75 208.25
 334.50 442.75 327.50 309.00 345.50
 345.50 445.75 330.50 313.50 357.25
 351.25 450.00 335.75 316.75 360.75
 354.25 454.50 338.50 319.75 362.75
 361.75 492.50 343.25 325.25 364.50
 367.50 496.25 347.25 326.50 365.50
 370.25 499.00 350.50 330.75 369.25
 371.50 502.75 355.00 334.75 371.00
 373.75 541.00 396.50 336.75 373.25
 375.25 546.50 402.50 339.75 374.75
 377.75 550.25 406.25 341.00 377.25
 379.25 555.00 408.75 342.50 377.75
 381.75 592.25 412.50 343.75 378.75
 381.75 596.25 416.25 345.75 381.50
 387.50 598.00 417.25 349.75 384.25
 392.25 603.00 422.75 353.50 386.00
 398.50 638.75 463.25 416.50 387.25
 402.75 642.25 469.00 422.00 391.75
 405.75 646.50 476.00 430.50 396.00
 412.75 653.25 479.50 434.00 396.50
 420.50 689.50 482.00 436.75 397.50
 427.50 695.25 483.25 438.75 398.75
 430.25 698.50 487.75 440.25 401.00
 435.00 701.50 488.75 443.00 402.25
 436.25 738.50 532.75 445.50 404.00
 437.75 749.25 538.25 449.25 405.00
 441.75 752.50 542.75 450.25 407.00
 445.50 755.00 551.00 453.25 408.00
 450.00 790.00 553.25 453.75 410.25
 452.25 801.00 555.75 457.50 411.50
 456.00 804.25 559.25 460.25 413.75
 461.75 808.25 562.75 463.00 417.25
