Timestamp,User\g,Nice\g,System\g,Wait\g,Steal\g,Idle\g
2014-06-10T02:33:15-04:00,7.2,0,7.62,0.06,0,85.14
2014-06-10T02:33:30-04:00,12,0,12.5,0.1,0,75.5
2014-06-10T02:33:45-04:00,11,0,6.5666666667,4.9,0,77.633333333
2014-06-10T02:34:00-04:00,5.22,0,2.1,3.04,0,89.74
2014-06-10T02:34:15-04:00,0.68,0,0.5,0.08,0,98.78
2014-06-10T02:34:30-04:00,0,0,0.1,0,0,99.9
2014-06-10T02:34:45-04:00,0,0,0.1,0,0,99.9
2014-06-10T02:35:00-04:00,0,0,0.1,0,0,99.9
2014-06-10T02:35:15-04:00,0,0,0.1,0,0,99.9
2014-06-10T02:35:30-04:00,0,0,0.1,0,0,99.9
2014-06-10T02:35:45-04:00,0.10666666667,0,0.20666666667,0.053333333333,0,99.633333333
2014-06-10T02:36:00-04:00,0.2,0,0.3,0.1,0,99.4
