"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.315,0.883,98.676,0.0,0.0,0.126,192.0,0.0,71664224.0,282824.0,139307425.0,611777.0,3863728128.0,412139520.0,4879433728.0,16167997440.0,0.0,0.0
0.378,0.820,98.739,0.0,0.0,0.063,170.0,106.0,67900972.0,332345.0,133787327.0,588031.0,3939352576.0,412139520.0,4879433728.0,16092372992.0,0.0,0.0
0.441,0.882,98.614,0.0,0.0,0.063,416.0,0.0,71689267.0,281592.0,139984493.0,545968.0,4010655744.0,412139520.0,4879433728.0,16021069824.0,0.0,0.0
0.442,0.631,98.737,0.126,0.0,0.063,372.0,0.0,70439492.0,276342.0,136989240.0,535412.0,4086280192.0,412139520.0,4879433728.0,15945445376.0,0.0,16384.0
0.378,0.883,98.676,0.0,0.0,0.063,542.0,174.0,69446671.0,273892.0,137737238.0,538636.0,4163854336.0,412139520.0,4879433728.0,15867871232.0,0.0,12288.0
0.503,0.881,98.553,0.0,0.0,0.063,128.0,0.0,71402870.0,281412.0,136403517.0,534688.0,4230963200.0,412139520.0,4879433728.0,15800762368.0,0.0,0.0
0.253,0.884,98.863,0.0,0.0,0.0,376.0,198.0,68625056.0,269628.0,138318457.0,541324.0,4304363520.0,412139520.0,4879433728.0,15727362048.0,0.0,0.0
0.441,0.819,98.677,0.0,0.0,0.063,320.0,0.0,70619938.0,278070.0,136038187.0,531662.0,4371214336.0,412139520.0,4879433728.0,15660511232.0,0.0,0.0
0.441,0.881,98.553,0.0,0.0,0.126,426.0,106.0,69514868.0,272638.0,137334862.0,536154.0,4442771456.0,412139520.0,4879433728.0,15588954112.0,0.0,0.0
0.442,0.821,98.611,0.126,0.0,0.0,144.0,0.0,71798197.0,282846.0,139524441.0,545866.0,4518268928.0,412139520.0,4879433728.0,15513456640.0,0.0,16384.0
0.378,1.072,98.487,0.0,0.0,0.063,564.0,0.0,67585655.0,266584.0,133679087.0,524424.0,4585406464.0,412139520.0,4879433728.0,15446319104.0,0.0,12288.0
0.504,0.882,98.552,0.0,0.0,0.063,584.0,280.0,72236280.0,308570.0,139814336.0,571094.0,4660912128.0,412139520.0,4879433728.0,15370813440.0,0.0,0.0
0.441,0.820,98.739,0.0,0.0,0.0,256.0,0.0,68963172.0,270328.0,135213035.0,583422.0,4730245120.0,412139520.0,4879433728.0,15301480448.0,0.0,0.0
0.441,3.529,95.967,0.0,0.0,0.063,128.0,0.0,69708835.0,305078.0,136373341.0,564768.0,4801458176.0,412139520.0,4879433728.0,15230267392.0,0.0,0.0
0.378,7.062,92.497,0.0,0.0,0.063,496.0,0.0,70690699.0,278168.0,136543932.0,537920.0,4866596864.0,412139520.0,4879433728.0,15165128704.0,0.0,0.0
0.505,7.003,92.240,0.126,0.0,0.126,298.0,106.0,68755980.0,272516.0,137530646.0,540222.0,4940132352.0,412139520.0,4879433728.0,15091593216.0,0.0,12288.0
0.378,6.999,92.497,0.0,0.0,0.126,426.0,106.0,70491990.0,342411.0,135076957.0,660332.0,5007241216.0,412139520.0,4879433728.0,15024484352.0,0.0,4096.0
0.316,7.138,92.546,0.0,0.0,0.0,570.0,0.0,69641518.0,275782.0,138979704.0,563522.0,5084835840.0,412139520.0,4879433728.0,14946889728.0,0.0,0.0
0.441,7.053,92.380,0.0,0.0,0.126,308.0,0.0,70139789.0,294828.0,136251911.0,555098.0,5154304000.0,412139520.0,4879433728.0,14877421568.0,0.0,0.0
0.379,7.003,92.555,0.0,0.0,0.063,298.0,106.0,68915489.0,271372.0,136107158.0,534988.0,5228331008.0,412139520.0,4879433728.0,14803394560.0,0.0,0.0
0.377,7.040,92.583,0.0,0.0,0.0,554.0,0.0,72363297.0,291994.0,140191017.0,564202.0,5299884032.0,412139520.0,4879437824.0,14731837440.0,0.0,0.0
0.252,6.864,92.695,0.126,0.0,0.063,170.0,106.0,67085030.0,273752.0,132983870.0,541752.0,5364887552.0,412139520.0,4879437824.0,14666833920.0,0.0,12288.0
0.315,6.864,92.821,0.0,0.0,0.0,320.0,0.0,71864423.0,295318.0,139022769.0,567254.0,5436571648.0,412139520.0,4879437824.0,14595149824.0,0.0,8192.0
0.441,2.391,97.105,0.0,0.0,0.063,480.0,106.0,69312620.0,279982.0,135869743.0,541982.0,5507944448.0,412139520.0,4879450112.0,14523764736.0,0.0,0.0
