Timestamp,In ,Out
2014-06-09T21:43:15-04:00,6447.31,3609.98
2014-06-09T21:43:30-04:00,2.1521180895E+17,2.1521180895E+17
2014-06-09T21:43:45-04:00,4.6116816204E+17,4.6116816204E+17
2014-06-09T21:44:00-04:00,4.6116816204E+17,4.6116816204E+17
2014-06-09T21:44:15-04:00,2.7670089725E+17,4.6115569633E+17
2014-06-09T21:44:30-04:00,76745320,4.6113699776E+17
2014-06-09T21:44:45-04:00,76745320,4.6113699776E+17
2014-06-09T21:45:00-04:00,66016886.933,3.3816713169E+17
2014-06-09T21:45:15-04:00,36513696,175586.75
2014-06-09T21:45:30-04:00,34989896.533,161581.06733
2014-06-09T21:45:45-04:00,30799448,123065.44
2014-06-09T21:46:00-04:00,30799448,123065.44
