"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.188,0.188,99.624,0.0,0.0,0.0,170.0,106.0,142995.0,35060906.0,252721.0,69049117.0,6416068608.0,412123136.0,5178867712.0,13316239360.0,0.0,0.0
0.125,0.188,99.686,0.0,0.0,0.0,180.0,0.0,140470.0,34377620.0,271859.0,66652716.0,6414884864.0,412123136.0,5178867712.0,13317423104.0,0.0,0.0
0.251,0.251,99.373,0.125,0.0,0.0,840.0,174.0,146857.0,35502139.0,258475.0,69576536.0,6417096704.0,412123136.0,5178867712.0,13315211264.0,0.0,36864.0
0.125,0.251,99.624,0.0,0.0,0.0,192.0,0.0,136856.0,33725011.0,243708.0,67228838.0,6416093184.0,412123136.0,5178867712.0,13316214784.0,0.0,4096.0
0.188,0.188,99.562,0.0,0.0,0.063,128.0,0.0,145288.0,35393967.0,255038.0,69020676.0,6416314368.0,412123136.0,5178867712.0,13315993600.0,0.0,0.0
0.125,0.188,99.687,0.0,0.0,0.0,426.0,106.0,143806.0,35295408.0,254256.0,68964571.0,6416093184.0,412123136.0,5178867712.0,13316214784.0,0.0,0.0
0.251,0.188,99.561,0.0,0.0,0.0,192.0,0.0,145562.0,35228306.0,256716.0,69090963.0,6415826944.0,412123136.0,5178867712.0,13316481024.0,0.0,0.0
0.188,0.251,99.435,0.125,0.0,0.0,298.0,106.0,145964.0,35400025.0,255876.0,69101187.0,6416777216.0,412123136.0,5178867712.0,13315530752.0,0.0,36864.0
0.125,0.251,99.624,0.0,0.0,0.0,1368.0,0.0,145915.0,35344804.0,255939.0,68895458.0,6416502784.0,412123136.0,5178875904.0,13315796992.0,0.0,0.0
0.188,0.250,99.499,0.0,0.0,0.063,286.0,106.0,142347.0,35120427.0,250819.0,68643461.0,6416125952.0,412123136.0,5178892288.0,13316157440.0,0.0,4096.0
0.188,0.125,99.687,0.0,0.0,0.0,128.0,0.0,140252.0,33983495.0,244438.0,66114542.0,6416556032.0,412123136.0,5178892288.0,13315727360.0,0.0,0.0
