Timestamp,In ,Out
2014-06-08T22:10:30-04:00,1502.3,1500.33
2014-06-08T22:10:45-04:00,1502.3,1500.33
2014-06-08T22:11:00-04:00,1502.3,1500.33
2014-06-08T22:11:15-04:00,1502.3,1500.33
2014-06-08T22:11:30-04:00,1502.3,1500.33
2014-06-08T22:11:45-04:00,1502.3,1500.33
2014-06-08T22:12:00-04:00,1502.3,1500.33
2014-06-08T22:12:15-04:00,1502.3,1500.33
2014-06-08T22:12:30-04:00,1502.3,1500.33
2014-06-08T22:12:45-04:00,1502.3,1500.33
2014-06-08T22:13:00-04:00,1502.3,1500.33
2014-06-08T22:13:15-04:00,NaN,NaN
