Timestamp,In ,Out
2014-05-26T17:15:45-04:00,9930.89,36167.61
2014-05-26T17:16:00-04:00,9930.89,36167.61
2014-05-26T17:16:15-04:00,9930.89,36167.61
2014-05-26T17:16:30-04:00,9930.89,36167.61
2014-05-26T17:16:45-04:00,10042.922,39907.796667
2014-05-26T17:17:00-04:00,10140.95,43180.46
2014-05-26T17:17:15-04:00,10781.683333,36724.92
2014-05-26T17:17:30-04:00,11513.95,29347.16
2014-05-26T17:17:45-04:00,11513.95,29347.16
2014-05-26T17:18:00-04:00,11371.880667,32064.866667
2014-05-26T17:18:15-04:00,11247.57,34442.86
2014-05-26T17:18:30-04:00,11247.57,34442.86
