"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ","in","out","int","csw"
0.251,0.376,99.185,0.188,0.0,0.0,256.0,0.0,95053.0,16164230.0,168101.0,31531140.0,8397430784.0,412016640.0,5165096960.0,11348754432.0,0.0,65536.0,0.0,0.0,2894.0,2193.0
0.125,0.125,99.749,0.0,0.0,0.0,272.0,0.0,112322.0,19299660.0,199257.0,37649426.0,8396931072.0,412016640.0,5165121536.0,11349229568.0,0.0,0.0,0.0,0.0,2304.0,1255.0
0.188,0.125,99.687,0.0,0.0,0.0,418.0,304.0,93511.0,16052671.0,166135.0,31418183.0,8396681216.0,412016640.0,5165117440.0,11349483520.0,0.0,0.0,0.0,0.0,2068.0,1264.0
0.188,0.188,99.562,0.0,0.0,0.063,192.0,68.0,111561.0,19388449.0,198691.0,37900241.0,8396652544.0,412016640.0,5165117440.0,11349512192.0,0.0,0.0,0.0,0.0,2382.0,1342.0
0.188,0.125,99.687,0.0,0.0,0.0,360.0,0.0,95672.0,16116810.0,168887.0,31464030.0,8396349440.0,412016640.0,5165117440.0,11349815296.0,0.0,0.0,0.0,0.0,2116.0,1321.0
0.251,0.313,99.122,0.313,0.0,0.0,320.0,0.0,105459.0,17977454.0,191669.0,36247516.0,8397557760.0,412016640.0,5165129728.0,11348594688.0,0.0,61440.0,0.0,0.0,3021.0,2028.0
0.188,0.125,99.687,0.0,0.0,0.0,234.0,106.0,98187.0,17128910.0,171019.0,32376026.0,8397504512.0,412016640.0,5165129728.0,11348647936.0,0.0,0.0,0.0,0.0,2063.0,1225.0
0.125,0.188,99.687,0.0,0.0,0.0,298.0,106.0,96168.0,16187586.0,180995.0,34127491.0,8396963840.0,412016640.0,5165121536.0,11349196800.0,0.0,0.0,0.0,0.0,2327.0,1281.0
0.188,0.125,99.687,0.0,0.0,0.0,1164.0,0.0,107891.0,18955111.0,181853.0,34513754.0,8396632064.0,412016640.0,5165121536.0,11349528576.0,0.0,0.0,0.0,0.0,2110.0,1332.0
0.250,0.188,99.499,0.0,0.0,0.063,150.0,0.0,93964.0,15922188.0,174430.0,32231831.0,8396439552.0,412016640.0,5165121536.0,11349721088.0,0.0,0.0,0.0,0.0,2298.0,1419.0
0.313,0.251,99.248,0.188,0.0,0.0,538.0,106.0,112335.0,19107910.0,216787.0,36197903.0,8397717504.0,412016640.0,5165133824.0,11348430848.0,0.0,65536.0,0.0,0.0,2906.0,1921.0
0.188,0.251,99.561,0.0,0.0,0.0,940.0,0.0,93507.0,15860603.0,166468.0,31036238.0,8398139392.0,412016640.0,5165129728.0,11348013056.0,0.0,0.0,0.0,0.0,2194.0,1374.0
0.125,0.188,99.687,0.0,0.0,0.0,414.0,106.0,110512.0,19099147.0,197126.0,37369160.0,8397758464.0,412016640.0,5165137920.0,11348385792.0,0.0,0.0,0.0,0.0,2368.0,1282.0
0.125,0.188,99.687,0.0,0.0,0.0,256.0,0.0,93547.0,15923163.0,165168.0,31098728.0,8398000128.0,412016640.0,5165137920.0,11348144128.0,0.0,0.0,0.0,0.0,2076.0,1318.0
0.188,0.188,99.624,0.0,0.0,0.0,362.0,106.0,112838.0,19347868.0,202472.0,37916752.0,8397287424.0,412016640.0,5165137920.0,11348856832.0,0.0,0.0,0.0,0.0,2448.0,1293.0
0.250,3.193,96.180,0.376,0.0,0.0,256.0,0.0,95663.0,16035373.0,168691.0,31186147.0,8397033472.0,412016640.0,5165150208.0,11349098496.0,0.0,57344.0,0.0,0.0,2687.0,1488.0
0.188,3.317,96.496,0.0,0.0,0.0,192.0,0.0,111437.0,19053105.0,195852.0,37205838.0,8396972032.0,412016640.0,5165162496.0,11349147648.0,0.0,0.0,0.0,0.0,2814.0,1327.0
0.188,4.503,95.247,0.0,0.0,0.063,170.0,106.0,91540.0,15774176.0,163254.0,30948464.0,8396509184.0,412016640.0,5165162496.0,11349610496.0,0.0,0.0,0.0,0.0,2803.0,1439.0
0.250,0.250,99.499,0.0,0.0,0.0,256.0,0.0,101111.0,17000472.0,186683.0,35305859.0,8396492800.0,412016640.0,5165178880.0,11349610496.0,0.0,36864.0,0.0,0.0,2508.0,
0.188,0.313,99.375,0.125,0.0,0.0,0.0,0.0,103557.0,18134846.0,177429.0,33430692.0,8395915264.0,412016640.0,5165178880.0,11350188032.0,0.0,20480.0,0.0,0.0,2173.0,
0.188,0.188,99.624,0.0,0.0,0.0,418.0,304.0,93111.0,15908521.0,174228.0,33028685.0,8396800000.0,412016640.0,5165178880.0,11349303296.0,0.0,0.0,0.0,0.0,2248.0,
