 23.50 31.00 31.25 70.25  22.00 33.00 38.50 57.00  25.00 35.50 62.50 111.00  36.25 56.75 122.25 238.75
 44.00 32.50 32.25 76.25  25.25 36.50 44.00 64.25  32.00 41.75 73.50 125.00  40.50 62.00 128.00 245.75
 63.00 52.50 43.50 78.50  47.00 38.75 50.00 75.75  34.25 46.00 76.75 129.75  43.00 65.25 130.00 249.25
 82.25 52.50 44.25 81.00  50.50 43.75 58.75 83.00  36.50 51.25 83.00 131.50  45.50 69.00 133.25 253.75
 101.50 72.50 78.00 82.00  70.00 65.50 61.25 86.50  60.00 56.50 85.25 135.25  47.00 70.75 134.75 255.50
 120.50 73.25 78.25 85.00  76.00 72.00 67.00 93.00  66.75 57.25 86.25 141.50  49.25 73.25 137.75 256.00
 139.75 96.00 78.50 85.00  98.00 77.00 71.25 104.50  68.75 59.75 89.25 142.75  51.50 76.25 139.25 261.50
 160.00 96.25 78.50 85.50  102.50 82.50 73.50 108.50  70.25 63.00 90.50 146.00  54.50 77.25 141.75 263.50
 184.00 126.75 108.50 135.25  121.50 105.50 102.75 112.00  93.00 100.25 92.25 149.00  93.00 78.50 143.75 282.00
 203.75 128.00 109.00 136.25  128.00 114.25 115.00 115.25  98.50 103.75 95.00 150.25  98.00 81.00 146.00 285.50
 222.75 147.25 120.50 140.25  149.50 117.50 121.50 116.25  103.25 106.25 96.50 151.50  100.25 84.75 147.75 287.75
 242.00 147.75 121.50 142.25  155.25 121.00 125.25 120.25  107.75 110.50 97.75 154.25  101.25 86.00 148.25 290.00
 261.00 167.25 153.25 146.50  174.75 145.00 132.75 125.25  132.00 114.00 101.75 157.50  102.75 87.50 150.00 292.25
 280.75 167.75 154.50 151.25  185.75 151.25 135.50 128.75  136.25 116.25 102.75 159.00  105.25 89.00 150.75 294.00
 301.00 191.25 155.50 165.00  208.75 158.75 136.50 132.75  141.50 118.75 104.00 159.75  107.00 90.75 151.50 295.25
 320.75 191.25 155.75 165.75  212.50 160.00 140.25 133.50  144.75 123.00 108.00 162.75  112.00 92.00 152.25 295.50
 343.25 220.25 190.25 212.00  233.75 190.50 182.25 188.50  168.00 159.00 161.75 167.50  148.50 157.75 153.00 296.00
 363.00 221.50 191.00 215.75  240.50 192.00 189.00 206.25  173.25 163.50 170.50 169.50  154.25 159.75 153.75 296.75
 382.00 241.25 202.25 220.75  260.50 196.50 190.50 211.75  176.25 167.50 177.00 171.50  156.75 162.00 154.50 298.00
 400.75 241.50 202.75 227.50  263.50 203.75 192.75 218.50  180.75 168.75 183.50 172.50  158.00 164.75 155.00 299.00
 420.25 261.25 236.25 239.25  282.50 224.25 198.25 223.75  203.50 173.75 186.25 174.25  159.75 166.50 157.00 300.25
 439.50 261.75 237.50 245.50  288.00 228.50 200.75 228.00  212.00 177.00 188.50 174.75  162.75 170.75 157.25 301.75
 458.50 285.25 237.75 248.75  307.50 236.75 202.50 230.00  214.50 179.75 189.25 176.25  166.25 171.00 158.75 302.00
