 23.50 31.00 31.25 70.25  22.00 33.00 38.50 57.00  25.00 35.50 62.50 111.00
 44.00 32.50 32.25 76.25  25.25 36.50 44.00 64.25  32.00 41.75 73.50 125.00
 63.00 52.50 43.50 78.50  47.00 38.75 50.00 75.75  34.25 46.00 76.75 129.75
 82.25 52.50 44.25 81.00  50.50 43.75 58.75 83.00  36.50 51.25 83.00 131.50
 101.50 72.50 78.00 82.00  70.00 65.50 61.25 86.50  60.00 56.50 85.25 135.25
 120.50 73.25 78.25 85.00  76.00 72.00 67.00 93.00  66.75 57.25 86.25 141.50
 139.75 96.00 78.50 85.00  98.00 77.00 71.25 104.50  68.75 59.75 89.25 142.75
 160.00 96.25 78.50 85.50  102.50 82.50 73.50 108.50  70.25 63.00 90.50 146.00
 184.00 126.75 108.50 135.25  121.50 105.50 102.75 112.00  93.00 100.25 92.25 149.00
 203.75 128.00 109.00 136.25  128.00 114.25 115.00 115.25  98.50 103.75 95.00 150.25
 222.75 147.25 120.50 140.25  149.50 117.50 121.50 116.25  103.25 106.25 96.50 151.50
 242.00 147.75 121.50 142.25  155.25 121.00 125.25 120.25  107.75 110.50 97.75 154.25
 261.00 167.25 153.25 146.50  174.75 145.00 132.75 125.25  132.00 114.00 101.75 157.50
 280.75 167.75 154.50 151.25  185.75 151.25 135.50 128.75  136.25 116.25 102.75 159.00
 301.00 191.25 155.50 165.00  208.75 158.75 136.50 132.75  141.50 118.75 104.00 159.75
 320.75 191.25 155.75 165.75  212.50 160.00 140.25 133.50  144.75 123.00 108.00 162.75
 343.25 220.25 190.25 212.00  233.75 190.50 182.25 188.50  168.00 159.00 161.75 167.50
 363.00 221.50 191.00 215.75  240.50 192.00 189.00 206.25  173.25 163.50 170.50 169.50
 382.00 241.25 202.25 220.75  260.50 196.50 190.50 211.75  176.25 167.50 177.00 171.50
 400.75 241.50 202.75 227.50  263.50 203.75 192.75 218.50  180.75 168.75 183.50 172.50
 420.25 261.25 236.25 239.25  282.50 224.25 198.25 223.75  203.50 173.75 186.25 174.25
 439.50 261.75 237.50 245.50  288.00 228.50 200.75 228.00  212.00 177.00 188.50 174.75
 458.50 285.25 237.75 248.75  307.50 236.75 202.50 230.00  214.50 179.75 189.25 176.25
 479.00 285.50 237.75 249.25  309.00 240.25 208.50 233.75  219.50 185.25 190.00 177.00
 501.75 315.00 272.25 312.00  328.75 262.50 237.75 239.00  244.25 222.00 192.75 179.50
 521.75 315.75 273.50 314.00  333.50 269.75 249.25 241.25  248.25 225.75 193.50 179.75
 540.75 335.50 280.50 317.50  352.50 274.00 255.75 247.25  252.25 228.25 194.25 182.75
 559.75 335.50 282.50 319.25  357.50 278.25 261.25 249.75  257.75 233.50 197.25 186.25
 579.25 355.25 315.75 331.50  377.50 299.00 262.75 252.00  284.75 235.25 198.75 189.00
 599.00 355.50 317.25 332.75  384.25 308.25 266.00 256.75  289.00 237.25 201.75 190.25
 618.25 378.75 317.50 333.50  404.75 312.00 271.00 261.75  291.25 240.25 203.75 190.75
 638.50 379.00 317.50 334.00  410.75 316.75 273.00 265.00  295.00 246.00 205.00 192.50
 664.50 413.00 349.00 402.00  433.75 348.50 318.00 312.75  321.50 284.75 272.50 312.25
 684.25 415.00 349.75 406.50  437.00 351.25 322.75 327.00  326.25 293.50 278.00 325.00
 703.50 434.50 361.75 408.75  457.75 356.00 329.00 338.50  329.25 294.75 284.50 329.00
 722.50 435.00 362.75 413.00  458.25 360.75 334.25 341.75  334.00 297.50 287.25 333.25
 742.50 455.25 395.25 415.00  477.50 383.25 337.25 345.25  357.75 299.50 288.50 335.00
 762.75 455.75 397.25 417.25  481.75 386.50 339.75 353.50  362.75 301.25 291.00 340.25
 783.75 479.50 397.25 419.25  501.25 391.25 341.50 357.50  366.75 304.50 293.50 343.50
 803.75 480.00 397.25 419.50  502.50 396.00 343.50 365.25  372.00 308.00 294.75 345.00
 827.25 509.75 430.00 485.00  522.50 417.75 368.25 371.75  395.50 340.25 295.75 347.75
 847.00 511.00 431.25 494.75  523.00 423.50 380.25 374.50  399.25 348.25 298.50 350.00
 866.25 530.25 441.50 502.50  543.00 430.50 392.25 378.00  402.25 353.50 300.25 350.50
 885.25 530.50 442.75 505.50  546.25 431.75 397.75 381.00  408.00 356.75 302.00 352.50
 905.50 549.75 476.75 506.50  566.75 456.25 398.75 384.25  432.50 359.75 303.75 353.00
 925.75 551.25 478.25 507.00  572.25 461.50 401.00 391.75  440.25 361.25 305.50 354.75
 944.75 574.00 478.75 507.00  593.50 465.00 404.25 394.00  441.00 364.75 307.50 355.50
 965.25 574.25 478.75 507.25  595.50 470.25 409.00 397.00  443.50 367.50 309.75 357.75
 987.25 605.00 511.75 552.75  617.75 500.75 455.50 456.50  468.50 401.25 371.25 360.00
 1006.50 605.50 512.00 558.75  621.25 505.50 458.50 465.75  471.50 409.00 377.25 362.00
