Timestamp,In ,Out
2014-06-07T23:00:45-04:00,8926.32,16378.94
2014-06-07T23:01:00-04:00,8736.816,12942.196
2014-06-07T23:01:15-04:00,8689.44,12083.01
2014-06-07T23:01:30-04:00,8689.44,12083.01
2014-06-07T23:01:45-04:00,8689.44,12083.01
2014-06-07T23:02:00-04:00,8689.44,12083.01
2014-06-07T23:02:15-04:00,8689.44,12083.01
2014-06-07T23:02:30-04:00,8689.44,12083.01
2014-06-07T23:02:45-04:00,8689.44,12083.01
2014-06-07T23:03:00-04:00,17357719.563,4.3042419515E+17
2014-06-07T23:03:15-04:00,18596936,4.6116878051E+17
2014-06-07T23:03:30-04:00,NaN,NaN
