Timestamp,In ,Out
2014-05-30T05:16:00-04:00,1113.95,1491.53
2014-05-30T05:16:15-04:00,5076.062,5490.682
2014-05-30T05:16:30-04:00,8542.91,8989.94
2014-05-30T05:16:45-04:00,993906.69133,666228.90533
2014-05-30T05:17:00-04:00,1856100,1241313
2014-05-30T05:17:15-04:00,1856100,1241313
2014-05-30T05:17:30-04:00,1203575.0027,908717.20267
2014-05-30T05:17:45-04:00,632615.63,617695.88
2014-05-30T05:18:00-04:00,632615.63,617695.88
2014-05-30T05:18:15-04:00,960579.89667,950985.81067
2014-05-30T05:18:30-04:00,1247548.63,1242614.5
2014-05-30T05:18:45-04:00,957251.336,951719.994
2014-05-30T05:19:00-04:00,625483,619269.13
2014-05-30T05:19:15-04:00,625483,619269.13
2014-05-30T05:19:30-04:00,954390.66933,623977.962
2014-05-30T05:19:45-04:00,1242184.88,628098.19
2014-05-30T05:20:00-04:00,1242184.88,628098.19
2014-05-30T05:20:15-04:00,498770.03,252823.786
2014-05-30T05:20:30-04:00,3160.13,2640.85
2014-05-30T05:20:45-04:00,989453.73,660138.866
2014-05-30T05:21:00-04:00,1852460.63,1235449.63
2014-05-30T05:21:15-04:00,1852460.63,1235449.63
2014-05-30T05:21:30-04:00,992956.55333,668639.526
2014-05-30T05:21:45-04:00,10666.18,20856.55
2014-05-30T05:22:00-04:00,10666.18,20856.55
2014-05-30T05:22:15-04:00,6899.008,13133.37
2014-05-30T05:22:30-04:00,1248.25,1548.6
2014-05-30T05:22:45-04:00,1248.25,1548.6
